Category,SKU,Group ID,Product Type,Product,Variant,Reorder,Cost Price,Retail Price,Margin,branch_id,Supplier,Tax,Quantity,Serial Number,serialized,expiry date,,,
ACTON,22,1,STOCKABLE,Bible Translation In Africa-Reju(editor),NONE,0,900,1350,450,1,DEFAULT,NONE,0,,0,,,,
ACTON,23,1,STOCKABLE,African Peacemaking & Governance-Tarimo,NONE,0,750,900,150,1,DEFAULT,NONE,0,,0,,,,
ACTON,24,1,STOCKABLE,Christian Presence Amid African Religion-Taylor,NONE,0,900,1350,450,1,DEFAULT,NONE,7,,0,,,,
ACTON,25,1,STOCKABLE,Interacting With Scriptures in Africa-Wendland,NONE,0,750,1350,600,1,DEFAULT,NONE,0,,0,,,,
ACTON,26,1,STOCKABLE,Fundamentals of the Christian Home-David Pofi,NONE,0,167,200,33,1,DEFAULT,NONE,0,,0,,,,
ACTON,3,1,STOCKABLE,Let My People Stay-Holter,NONE,0,750,900,150,1,DEFAULT,NONE,0,,0,,,,
ACTON,4,1,STOCKABLE,Interpreting Classical Religious Texts In Contemporary Africa-Holter,NONE,0,1050,1550,500,1,DEFAULT,NONE,0,,0,,,,
ACTON,5,1,STOCKABLE,God and Revelation in African Context-Kibicho,NONE,0,750,1550,800,1,DEFAULT,NONE,0,,0,,,,
ACTON,6,1,STOCKABLE,Islam Among the Swahili-Kim,NONE,0,1125,1350,225,1,DEFAULT,NONE,0,,0,,,,
ACTON,7,1,STOCKABLE,Pastoral Care in African Christianity-Kinoti,NONE,0,750,1550,800,1,DEFAULT,NONE,0,,0,,,,
ACTON,8,1,STOCKABLE,Charismatic renewal in Africa-Kyomo,NONE,0,1125,1350,225,1,DEFAULT,NONE,0,,0,,,,
ACTON,9,1,STOCKABLE,Christian Ethics in Africa-Magesa,NONE,0,750,900,150,1,DEFAULT,NONE,0,,0,,,,
ACTS,9.79E+12,1,STOCKABLE,Africa Indigenous Churches - Ayegboyin &Ishola,NONE,0,220,500,280,1,DEFAULT,NONE,2,,0,,,,
ACTS,9.78E+12,1,STOCKABLE,"Exploring Theological English (REading, Vocabulary and Grammar for ESL/EFL)",NONE,0,956,1500,544,1,DEFAULT,NONE,0,,0,,,,
ACTS,27,1,STOCKABLE,The Battle Is God's-Ferdinardo,NONE,0,150,350,200,1,DEFAULT,NONE,4,,0,,,,
ACTS,9.78E+12,1,STOCKABLE,AIDS is Real and it's in Our ChurchGarland & Blyth,NONE,0,134,400,266,1,DEFAULT,NONE,19,,0,,,,
ACTS,29,1,STOCKABLE,Leading the Church in Music and Worship-Janvier,NONE,0,300,600,300,1,DEFAULT,NONE,0,,0,,,,
ACTS,9.79E+12,1,STOCKABLE,A Study of the Major & Minor Prophets of O.T-Janvier,NONE,0,500,950,450,1,DEFAULT,NONE,0,,0,,,,
ACTS,31,1,STOCKABLE,Reconciliation for Africa-Janvier-Keener,NONE,0,45,100,55,1,DEFAULT,NONE,0,,0,,,,
ACTS,32,1,STOCKABLE,Culture and the Christian home-Kore,NONE,0,320,550,230,1,DEFAULT,NONE,0,,0,,,,
ACTS,9.79E+12,1,STOCKABLE,Journey With Jesus-Krouse,NONE,0,124,300,176,1,DEFAULT,NONE,0,,0,,,,
ACTS,ACT001,1,STOCKABLE,Baptism & Fullness,NONE,0,1,250,249,1,DEFAULT,NONE,206,,0,,,,
ACTS,ACT002,1,STOCKABLE,Hidden But Now Revealed,NONE,0,1,250,249,1,DEFAULT,NONE,127,,0,,,,
ACTS,34,1,STOCKABLE,Prosperity: Seeking the True Gospel-Mbugua/ Mbewe/Maura,NONE,0,98,200,102,1,DEFAULT,NONE,0,,0,,,,
ACTS,35,1,STOCKABLE,Christians in politics-Musa,NONE,0,833,1000,167,1,DEFAULT,NONE,0,,0,,,,
ACTS,9.79E+12,1,STOCKABLE,A Theology of the Old Testament-Palmer,NONE,0,110,200,90,1,DEFAULT,NONE,0,,0,,,,
ACTS,9.79E+12,1,STOCKABLE,"Jesus: Suffering Saviour, Sovereign Lord-Rees",NONE,0,100,250,150,1,DEFAULT,NONE,0,,0,,,,
ACTS,9.79E+12,1,STOCKABLE,Jesus: The Way to the Cross-Rees,NONE,0,100,250,150,1,DEFAULT,NONE,506,,0,,,,
ACTS,9.79E+12,1,STOCKABLE,Handbook Of Bible Interpretation-Schiling,NONE,0,230,550,320,1,DEFAULT,NONE,0,,0,,,,
ACTS,40,1,STOCKABLE,Behold Your God-Snyder,NONE,0,5000,9000,4000,1,DEFAULT,NONE,4,,0,,,,
Africa Christian press,9966703810,1,STOCKABLE,Restoring the Beauty and Blessings or Ethnic Diversity,NONE,0,200,350,150,1,DEFAULT,NONE,0,,0,,,,
AICK,1226,1,STOCKABLE,AJET Vol 22 1-AJET,NONE,0,250,300,50,1,DEFAULT,NONE,0,,0,,,,
AICK,9.79E+12,1,STOCKABLE,The Christian Student on Campus- Elly Ochieng Ndiao,NONE,0,1,500,499,1,DEFAULT,NONE,0,,0,,,,
AICK,1830,1,STOCKABLE,Questions Pastors Ask by Morrison,NONE,0,50,150,100,1,DEFAULT,NONE,0,,0,,,,
Alarm,9.79E+12,1,STOCKABLE,The Power Of A Praying Parent,NONE,0,315,600,285,1,DEFAULT,NONE,0,,0,,,,
AOP,9.78E+12,1,STOCKABLE,Relevance Communication & Cognition,NONE,0,1992,2390,398,1,DEFAULT,NONE,18,,0,,,,
APOL,9.78E+12,1,STOCKABLE,"Paul, the Law and Justification- Krusse",NONE,0,100,1300,1200,1,DEFAULT,NONE,0,,0,,,,
APOL,50,1,STOCKABLE,Jesus and the Gospels-Blomberg,NONE,0,1000,1200,200,1,DEFAULT,NONE,0,,0,,,,
APOL,51,1,STOCKABLE,The Historical Reliability of John's Gospel-Blomberg,NONE,0,833,1000,167,1,DEFAULT,NONE,0,,0,,,,
APOL,52,1,STOCKABLE,Christ Victory over Evil-Bolt,NONE,0,611,950,339,1,DEFAULT,NONE,0,,0,,,,
APOL,53,1,STOCKABLE,Pillar NT Series - The Gospel According to John-Carson,NONE,0,1426,2140,714,1,DEFAULT,NONE,3,,0,,,,
APOL,54,1,STOCKABLE,Christ and Culture Revisited-Carson,NONE,0,616,1200,584,1,DEFAULT,NONE,0,,0,,,,
APOL,55,1,STOCKABLE,Collected writings on scripture-Carson,NONE,0,627,1300,673,1,DEFAULT,NONE,18,,0,,,,
APOL,56,1,STOCKABLE,Original sin-Carson,NONE,0,529,565,36,1,DEFAULT,NONE,0,,0,,,,
APOL,9.78E+12,1,STOCKABLE,"Body,Soul,and Life Everlasting-Cooper",NONE,0,230,450,220,1,DEFAULT,NONE,0,,0,,,,
APOL,9.78E+12,1,STOCKABLE,Getting Your Bearings-Duce,NONE,0,583,700,117,1,DEFAULT,NONE,4,,0,,,,
APOL,59,1,STOCKABLE,Reading the Mind of God-Duce,NONE,0,667,800,133,1,DEFAULT,NONE,0,,0,,,,
APOL,9.78E+12,1,STOCKABLE,Keeping Your Balance-Dulse & Strane,NONE,0,583,700,117,1,DEFAULT,NONE,1,,0,,,,
APOL,61,1,STOCKABLE,Pillar NT Series-The Gospel According to Luke-Edwards,NONE,0,1155,2500,1345,1,DEFAULT,NONE,2,,0,,,,
APOL,62,1,STOCKABLE,1 & 2 Samuel (Apollos OT Series)-Firth,NONE,0,1167,2100,933,1,DEFAULT,NONE,0,,0,,,,
APOL,9.78E+12,1,STOCKABLE,Sociology Through the Eyes of Faith-Fraser/Campolo,NONE,0,780,1500,720,1,DEFAULT,NONE,0,,0,,,,
APOL,9.78E+12,1,STOCKABLE,Atheism's New Clothes-Glass,NONE,0,692,1800,1108,1,DEFAULT,NONE,2,,0,,,,
APOL,9.78E+12,1,STOCKABLE,Christ Centered - Biblical Theology-Goldsworthy,NONE,0,616,1300,684,1,DEFAULT,NONE,9,,0,,,,
APOL,67,1,STOCKABLE,God's power to save-Green,NONE,0,467,600,133,1,DEFAULT,NONE,0,,0,,,,
APOL,9.78E+12,1,STOCKABLE,Signs and Wonders Then and Now-Hacking,NONE,0,611,1050,439,1,DEFAULT,NONE,8,,0,,,,
APOL,9.78E+12,1,STOCKABLE,Biblical Theology-Hafermann,NONE,0,500,1000,500,1,DEFAULT,NONE,10,,0,,,,
APOL,9.78E+12,1,STOCKABLE,Virtual Morality-Houston,NONE,0,1183,1420,237,1,DEFAULT,NONE,2,,0,,,,
APOL,73,1,STOCKABLE,Political Church-Leeman,NONE,0,825,1500,675,1,DEFAULT,NONE,2,,0,,,,
APOL,74,1,STOCKABLE,Daniel (Apollos OT Series)-Lucas,NONE,0,1083,1300,217,1,DEFAULT,NONE,0,,0,,,,
APOL,75,1,STOCKABLE,Disciplining hermeneutics-Lundin,NONE,0,887,1065,178,1,DEFAULT,NONE,0,,0,,,,
APOL,76,1,STOCKABLE,Deuteronomy (Apollos OT Series)  -McConville,NONE,0,1000,1200,200,1,DEFAULT,NONE,0,,0,,,,
APOL,77,1,STOCKABLE,The letter of James-Moo,NONE,0,662,960,298,1,DEFAULT,NONE,0,,0,,,,
APOL,78,1,STOCKABLE,Pillar NT Series-The gospel according to matthew-Morris,NONE,0,1155,3000,1845,1,DEFAULT,NONE,0,,0,,,,
APOL,9.78E+12,1,STOCKABLE,"Come, Lord Jesus-Motyer",NONE,0,650,1300,650,1,DEFAULT,NONE,9,,0,,,,
APOL,9.78E+12,1,STOCKABLE,The Wisdom of the Cross-Rosner,NONE,0,611,950,339,1,DEFAULT,NONE,4,,0,,,,
APOL,81,1,STOCKABLE,Old Testament Theology-Routledge,NONE,0,904,1800,896,1,DEFAULT,NONE,0,,0,,,,
APOL,9.78E+12,1,STOCKABLE,Run to win the Prize-Schreimer,NONE,0,300,800,500,1,DEFAULT,NONE,0,,0,,,,
APOL,83,1,STOCKABLE,Pillar NT Series - The Gospel According to 2nd CorinthiansSeifrid,NONE,0,1222,1840,618,1,DEFAULT,NONE,0,,0,,,,
APOL,84,1,STOCKABLE,For Their Rock Is Not As Our Rock-Strange,NONE,0,660,1300,640,1,DEFAULT,NONE,1,,0,,,,
APOL,IVP008,1,STOCKABLE,For their Rock is Not Our Rock,NONE,0,523,1300,776.8586395,1,DEFAULT,NONE,7,,0,,,,
APOL,IVP012,1,STOCKABLE,Globalizing Theology,NONE,0,471,1300,828.8586395,1,DEFAULT,NONE,30,,0,,,,
APOL,9.78E+12,1,STOCKABLE,Gospel Centred Hermeneutics - Goldsworthy,NONE,0,523,1300,776.8586395,1,DEFAULT,NONE,14,,0,,,,
APOL,994,1,STOCKABLE,We Become What we Worship,NONE,0,523,1600,1076.858639,1,DEFAULT,NONE,16,,0,,,,
ARBA,9.79E+12,1,STOCKABLE,Praying Teen,NONE,0,413,650,237,1,DEFAULT,NONE,0,,0,,,,
ARBA,9.79E+12,1,STOCKABLE,PARENTING WITH A PURPOSE,NONE,0,693,1000,307,1,DEFAULT,NONE,0,,0,,,,
ARBA,9.79E+12,1,STOCKABLE,PRAYING KID,NONE,0,343,550,207,1,DEFAULT,NONE,0,,0,,,,
ARBA,9.79E+12,1,STOCKABLE,PRAYING WOMAN,NONE,0,613,1000,387,1,DEFAULT,NONE,4,,0,,,,
ARBA,9.79E+12,1,STOCKABLE,PRAYING WIFE,NONE,0,315,600,285,1,DEFAULT,NONE,2,,0,,,,
ARBA,9.79E+12,1,STOCKABLE,The Power of  A Praying Husband,NONE,0,371,600,229,1,DEFAULT,NONE,2,,0,,,,
ARBA,9.79E+11,1,STOCKABLE,The providence of God,NONE,0,652,1000,348,1,DEFAULT,NONE,5,,0,,,,
BAKE,351,1,STOCKABLE,A Basic Guide to Eschatology-Erickson,NONE,0,1208,1450,242,1,DEFAULT,NONE,0,,0,,,,
BAKE,328,1,STOCKABLE,A N.T Biblical Theology-Beale,NONE,0,2401,3500,1099,1,DEFAULT,NONE,0,,0,,,,
BAKE,BAK001,1,STOCKABLE,A New Perspective on Jesus,NONE,0,420,700,280,1,DEFAULT,NONE,2,,0,,,,
BAKE,9.78E+12,1,STOCKABLE,Advanced Strategic Planning-Malphurs,NONE,0,1247,2500,1253,1,DEFAULT,NONE,4,,0,,,,
BAKE,357,1,STOCKABLE,Announcing the Kingdom (Shawn Redford)-Glasler,NONE,0,1600,2550,950,1,DEFAULT,NONE,0,,0,,,,
BAKE,9.78E+12,1,STOCKABLE,Anthropological Insights for Missionaries-Hiebert,NONE,0,1362,2200,838,1,DEFAULT,NONE,48,,0,,,,
BAKE,9.78E+12,1,STOCKABLE,Anthropological reflections on missiological issues-Hiebert,NONE,0,1783,3200,1417,1,DEFAULT,NONE,10,,0,,,,
BAKE,388,1,STOCKABLE,Attributes of God-Pink,NONE,0,625,750,125,1,DEFAULT,NONE,0,,0,,,,
BAKE,348,1,STOCKABLE,Baker Commentary on the Whole Bible-Elwell,NONE,0,2083,2500,417,1,DEFAULT,NONE,0,,0,,,,
BAKE,378,1,STOCKABLE,Beyond The Bible-Marshall,NONE,0,250,600,350,1,DEFAULT,NONE,0,,0,,,,
BAKE,379,1,STOCKABLE,Bible in Translation-Metzger,NONE,0,546,655,109,1,DEFAULT,NONE,0,,0,,,,
BAKE,401,1,STOCKABLE,Biblical Interpretation-Tate,NONE,0,2250,2700,450,1,DEFAULT,NONE,4,,0,,,,
BAKE,9.78E+12,1,STOCKABLE,Biblical Preaching-Robinson,NONE,0,1293,2000,707,1,DEFAULT,NONE,6,,0,,,,
BAKE,BAK002,1,STOCKABLE,"Bibliccal Interpretation, 3rd ed. (Paper)",NONE,0,2089,3000,911,1,DEFAULT,NONE,0,,0,,,,
BAKE,340,1,STOCKABLE,Christ Centered Preaching-Chapell,NONE,0,1474,2800,1326,1,DEFAULT,NONE,0,,0,,,,
BAKE,9.78E+12,1,STOCKABLE,Christ-Centered Worship-Chapell,NONE,0,1030,1850,820,1,DEFAULT,NONE,1,,0,,,,
BAKE,9.78E+12,1,STOCKABLE,Christian Apologetics-Geisler,NONE,0,2089,2800,711,1,DEFAULT,NONE,5,,0,,,,
BAKE,408,1,STOCKABLE,Christian Education:The Search for Meaning (offer)-Wilhoit,NONE,0,917,1000,83,1,DEFAULT,NONE,0,,0,,,,
BAKE,356,1,STOCKABLE,Christian Ethics-Geisler,NONE,0,1701,2800,1099,1,DEFAULT,NONE,4,,0,,,,
BAKE,9.78E+12,1,STOCKABLE,Christian Theology (third Edition) byMillard Erickson,NONE,0,2599,4500,1901,1,DEFAULT,NONE,13,,0,,,,
BAKE,381,1,STOCKABLE,Christianity Encountering World Religions-Muck/Adeney,NONE,0,1917,2300,383,1,DEFAULT,NONE,0,,0,,,,
BAKE,339,1,STOCKABLE,Commentary on the N.T use of the O.T-Carson/Beale,NONE,0,1988,4000,2012,1,DEFAULT,NONE,0,,0,,,,
BAKE,334,1,STOCKABLE,Cross & Christian Ministry-Carson,NONE,0,750,900,150,1,DEFAULT,NONE,0,,0,,,,
BAKE,363,1,STOCKABLE,Cultural Anthropology-Hiebert,NONE,0,2599,4000,1401,1,DEFAULT,NONE,10,,0,,,,
BAKE,9.78E+12,1,STOCKABLE,Cultural Intelligence-Livermore,NONE,0,900,2050,1150,1,DEFAULT,NONE,2,,0,,,,
BAKE,405,1,STOCKABLE,Dictionary for Theological Interpretation of the Bible-Vanhoozer (Ed),NONE,0,2772,4000,1228,1,DEFAULT,NONE,0,,0,,,,
BAKE,9.78E+12,1,STOCKABLE,Disciple-making Church-Hull,NONE,0,1107,2100,993,1,DEFAULT,NONE,0,,0,,,,
